 AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	actual_read_length	isolate	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibraryLayout	Platform	SRA_Study	age	cultivar	dev_stage	ecotype	geo_loc_name	tissue
200	SAMN06393017	SRX2583403	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	15389	10462	Alnus glutinosa	02/03/2017	SRR5279623	SRS1997253	Aln_gl_1		170bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393018	SRX2583404	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	15654	11057	Alnus glutinosa	02/03/2017	SRR5279624	SRS1997254	Aln_gl_2		170bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393019	SRX2583405	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	10925	7808	Alnus glutinosa	02/03/2017	SRR5279625	SRS1997255	Aln_gl_3		250bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393020	SRX2583406	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	9740	6954	Alnus glutinosa	02/03/2017	SRR5279626	SRS1997256	Aln_gl_4		250bp_2	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393021	SRX2585896	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	8712	5650	Alnus glutinosa	02/03/2017	SRR5282250	SRS1999558	Aln_gl_5		350bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393022	SRX2585897	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	12428	8146	Alnus glutinosa	02/03/2017	SRR5282253	SRS1999559	Aln_gl_6		2kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393023	SRX2585910	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	18227	12103	Alnus glutinosa	02/03/2017	SRR5282264	SRS1999560	Aln_gl_7		6kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393024	SRX2585911	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	26376	17664	Alnus glutinosa	02/03/2017	SRR5282265	SRS1999561	Aln_gl_8		10kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393025	SRX2585912	0	Illumina HiSeq 2000	RANDOM	GENOMIC		24/02/2017	25689	17138	Alnus glutinosa	02/03/2017	SRR5282266	SRS1999562	Aln_gl_9		20kp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393026	SRX2607518	170	Illumina HiSeq 2000	other	GENOMIC	RSZABPI007591-140	02/03/2017	47053	18378	Begonia fuchsioides	02/03/2018	SRR5306253	SRS2012841	Beg_fu_1	101	170bp	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
200	SAMN06393027	SRX2607519	250	Illumina HiSeq 2000	other	GENOMIC	RSZAXPI007685-29	02/03/2017	19964	13617	Begonia fuchsioides	02/03/2018	SRR5306254	SRS2012842	Beg_fu_2	101	250bp_1	WGS	PRJNA374770	Plant	BGI	public	sra	ncbi	PAIRED	ILLUMINA	SRP100595	not collected	not collected	not collected	not collected	not collected	not collected
